smiles,A,B,r2,n_pts,T_min,T_max,is_hc,eta_300,d_eta_dA_300,d_eta_dB_300,rel_sens_A,impact_1pct_A,impact_1pct_B_300,eta_5pct_err
CCOc1ccc(N)cc1,-13.6489069771721,2707.2367966538272,0.9781561398433236,9,277.78,500.0,False,0.009805769699907754,0.009805769699907754,3.2685898999692516e-05,13.6489069771721,0.136489069771721,0.09024122655512758,210.69808958096314
CCOc1ccccc1N,-12.66238012375426,2206.8279238397527,0.9776989580796521,9,277.78,500.0,False,0.004960309979711966,0.004960309979711966,1.6534366599039887e-05,12.66238012375426,0.1266238012375426,0.07356093079465842,172.0793756995946
CCc1ccc2ccccc2c1,-11.012544442956798,1496.7608363238253,0.9741717846937512,9,277.78,500.0,True,0.0024215640275107022,0.0024215640275107022,8.071880091702342e-06,11.012544442956798,0.11012544442956798,0.049892027877460846,122.57353636574608
CCc1cccc(CC)c1N,-12.000985372620786,1910.7638363583665,0.9869888353530558,9,277.78,500.0,False,0.003582219907822143,0.003582219907822143,1.1940733026073811e-05,12.000985372620786,0.12000985372620786,0.06369212787861221,150.55541008595662
CCc1cccc2ccccc12,-11.31232626410301,1685.4355715827553,0.9603080411540432,8,277.78,472.22,True,0.003365402557911725,0.003365402557911725,1.1218008526372416e-05,11.31232626410301,0.1131232626410301,0.056181185719425174,133.15242583019744
CCl,-10.25364538573765,-351.18514644493564,0.9941205594906855,10,250.0,500.0,False,1.0927122676167843e-05,1.0927122676167843e-05,3.642374225389281e-08,10.25364538573765,0.1025364538573765,0.011706171548164522,77.04134856714863
CF,-10.382573413199298,-307.19810947874805,0.9972066122249776,7,250.0,416.67,False,1.1122203731738085e-05,1.1122203731738085e-05,3.707401243912695e-08,10.382573413199298,0.10382573413199297,0.010239936982624936,76.88477671101835
CN(C)CCO,-14.175176567460598,2541.2334053716136,0.9942766232913287,6,298.15,353.15,False,0.0033312803827871855,0.0033312803827871855,1.1104267942623952e-05,14.175176567460598,0.14175176567460598,0.0847077801790538,210.27776587839418
CN(C)P(=O)(N(C)C)N(C)C,-10.886059772573857,1530.2513857469944,0.9993749326835727,8,305.56,500.0,False,0.0030726287295091766,0.0030726287295091766,1.024209576503059e-05,10.886059772573857,0.10886059772573857,0.05100837952489982,122.40834235040347
CN(CCO)CCO,-18.136915602969644,4641.241390742329,0.9967058338088289,20,283.15,363.15,False,0.06952207387253662,0.06952207387253662,0.00023174024624178873,18.136915602969644,0.18136915602969644,0.1547080463580776,436.7627539584868
CN(c1ccccc1)c1ccccc1,-12.23723442803767,2142.431151244895,0.9830405145066204,9,277.78,500.0,False,0.006122423542186776,0.006122423542186776,2.040807847395592e-05,12.23723442803767,0.1223723442803767,0.07141437170816316,163.51328019430414
CN1CCCC1=O,-10.33677652743918,1168.4889503104196,0.9872585141400424,22,283.15,423.15,False,0.0015935144441376252,0.0015935144441376252,5.311714813792084e-06,10.33677652743918,0.10336776527439182,0.03894963167701399,103.7221734450081
CN1CCCN(C)C1=O,-11.357698412322856,1646.9231621760828,0.9957482005733245,9,277.78,500.0,False,0.002828653322371305,0.002828653322371305,9.42884440790435e-06,11.357698412322856,0.11357698412322856,0.054897438739202754,132.18681862081542
COC(=O)CCCCC(=O)OC,-11.855625579564496,1800.0181350897135,0.9960890014435867,22,283.15,373.15,False,0.0028639166605833417,0.0028639166605833417,9.54638886861114e-06,11.855625579564496,0.11855625579564497,0.060000604502990454,144.19192341506294
COC(=O)c1ccccc1C(=O)OC,-13.022689465110872,2600.522986179256,0.9700191001577585,17,277.78,500.0,False,0.012851695752402706,0.012851695752402706,4.2838985841342356e-05,13.022689465110872,0.13022689465110873,0.08668409953930854,195.8123075070926
COC(F)(F)C(F)(F)C(F)(F)F,-18.40609386278829,1018.4315621285342,0.9987173455688231,11,273.15,373.15,False,3.024584304173342e-07,3.024584304173342e-07,1.0081947680577807e-09,18.40609386278829,0.1840609386278829,0.03394771873761781,197.4402822238355
COCCO,-12.169842254126763,1695.1127222838238,0.9987364509439612,13,293.15,353.15,False,0.0014744554951425768,0.0014744554951425768,4.9148516504752565e-06,12.169842254126763,0.12169842254126763,0.05650375740946079,143.75925679256204
COCCOCCOC,-11.376534474541698,1329.235739677832,0.9900279420246708,21,273.15,373.15,False,0.0009627192980586161,0.0009627192980586161,3.2090643268620537e-06,11.376534474541698,0.11376534474541698,0.04430785798926107,120.42030470839684
COCOC,-11.584269210558661,1047.3697100005356,0.9969244363748533,44,218.09,383.15,False,0.00030566010422224517,0.00030566010422224517,1.0188670140741506e-06,11.584269210558661,0.11584269210558662,0.03491232366668452,112.50069625419795
COc1ccc(O)cc1,-13.276686404045154,2714.1569976550195,0.993843255643657,7,333.33,500.0,False,0.01455972080523968,0.01455972080523968,4.853240268413227e-05,13.276686404045154,0.13276686404045154,0.09047189992183398,205.32109880873617
COc1cccc(O)c1,-14.386142135673333,3170.0557246350677,0.9877816281628483,9,277.78,500.0,False,0.0219433813003572,0.0219433813003572,7.3144604334524e-05,14.386142135673333,0.14386142135673333,0.10566852415450226,248.2149332985989
COc1cccc(OC)c1,-11.733305061173722,1673.2276872486082,0.9987823054490472,10,250.0,500.0,False,0.0021209749010572348,0.0021209749010572348,7.06991633685745e-06,11.733305061173722,0.11733305061173722,0.055774256241620274,137.62807000325523
