compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
"N,N-dibutyl-N-methyl-1-butanaminium L-lysinate",C19H43N3O2,True,8,False,0,mZmIo
"N,N-dibutyl-N-methyl-1-butanaminium L-threoninate",C17H38N2O3,True,8,False,0,ZvIWX
"N,N-dibutyl-N-methylbutanaminium L-serinate",C16H36N2O3,True,8,False,0,rnAQD
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C10H20F6N2O5S2,True,39,True,6,eRLNu;GhaZZ;dBZDA;GPAas;eQIpZ;oqcnx
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate",C8H20BF4NO,True,30,True,1,XOyvW;Hnnam;ilFab;UHige
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluorobutyl)borate",C12H20BF12NO,True,1,False,0,mqLyY
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoroethyl)borate",C10H20BF8NO,True,1,False,0,LCFtg
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoropropyl)borate",C11H20BF10NO,True,1,False,0,SivYV
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate",C9H20BF6NO,True,16,False,0,iiwri;HNwlc
"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C11H22F6N2O4S2,True,20,False,0,WvLgr;ujEbM;qYcio
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate",C11H22BF8N,True,1,False,0,ITriM
"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate",C10H22BF6N,True,1,False,0,YUuEQ
"N,N-diethyl-N-methylethanaminium methyl sulfate",C8H21NO4S,True,8,False,0,mkUjZ
"N,N-diethyl-N-methylpentan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C12H24F6N2O4S2,True,1,False,0,vDygU
"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C10H20F6N2O4S2,True,1,False,0,jpKCS
"N,N-diethylethanaminium 3-(4-hydroxy-3-methoxyphenyl)acrylate",C16H25NO4,True,12,False,0,XmjuV
"N,N-diethylprop-2-en-1-aminium trifluoromethanesulfonate",C8H16F3NO3S,True,7,False,0,IlEPY
"N,N-diethylpropan-1-aminium trifluoromethanesulfonate",C8H18F3NO3S,True,7,False,0,fmBjq
"N,N-dimethyl-N-(3-sulfopropyl)cyclohexanaminium 4-methylbenzenesulfonate",C18H31NO6S2,True,6,False,0,oevYd
"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",C11H22F6N2O4S2,True,13,False,0,eAqAf
"N,N-dimethyl-N-propyl-1-butanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C11H22F6N2O4S2,False,0,True,14,MxeGG
"N,N-dimethyl-N-propyldecanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C17H34F6N2O4S2,False,0,True,16,bclpw
"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",C6H10F6N2O5S2,True,6,False,0,bDFyT
"N,N-dimethylethanamine acetate",C6H15NO2,True,17,True,5,aowsV;seztG
"N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",C6H12F3NO3S,True,7,False,0,PAUKt
"N,N-dimethylpropan-1-aminium trifluoromethanesulfonate",C6H14F3NO3S,True,7,False,0,uOEUj
"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",C7H12F6N2O5S2,True,13,False,0,YvgJQ
"N-(2-(2-((2-ethoxyethyl)dimethylammonio)ethoxy)ethyl)-N,N-dimethylpentan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C21H40F12N4O10S4,True,7,False,0,wrEJt
"N-(2-(2-((2-ethoxyethyl)dimethylammonio)ethoxy)ethyl)-N,N-dimethylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C19H36F12N4O10S4,True,7,False,0,LUxGJ
