CAS,name,InChI,T_K,P_kPa,surface_tension_Nm
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",348,,0.045
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",353,,0.0447
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",358,,0.0444
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",363,,0.0439
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",368,,0.0436
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",373,,0.0432
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",378,,0.0429
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",383,,0.0425
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",388,,0.0422
,1-butyl-3-methylimidazolium chloride,"InChI=1S/C8H15N2.ClH/c1-3-4-5-10-7-6-9(2)8-10;/h6-8H,3-5H2,1-2H3;1H/q+1;/p-1",393,,0.0418
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",298,,0.0475
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",303,,0.0472
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",308,,0.0469
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",313,,0.0465
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",318,,0.046
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",323,,0.0456
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",328,,0.0453
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",333,,0.0449
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",338,,0.0446
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",343,,0.0443
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",348,,0.0438
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",353,,0.0435
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",358,,0.0431
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",363,,0.0428
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",368,,0.0424
,1-butyl-3-methylimidazolium hexafluorophosphate,"InChI=1S/C8H15N2.F6P/c1-3-4-5-10-7-6-9(2)8-10;1-7(2,3,4,5)6/h6-8H,3-5H2,1-2H3;/q+1;-1",373,,0.0421
