SMILES,method,T_K,surface_tension_Nm,Tc,Pc,Tb
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,300,0.04116710638952175,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,350,0.03769663734779229,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,400,0.03428336144668566,1019.2033023369663,1792421.7840906077,772.1600000000001
[Si](C)(C)(C)C1CC2CC1(C(=O)c1ccc3ccccc3c1)C2,joback,450,0.030930846062254824,1019.2033023369663,1792421.7840906077,772.1600000000001
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,250,0.05775539337638727,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,300,0.05477507396792672,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,350,0.05182395982036651,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,400,0.04890309923217998,1428.6230411051788,1272781.3543640936,1166.9
CC(C)Oc1c2c(c(C(NCC#C)=O)cc1)c1oc(=O)c3c(c(OC)cc(C=C)c3)c1cc2OC,joback,450,0.04601363070856091,1428.6230411051788,1272781.3543640936,1166.9
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,250,0.07501929261593661,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,300,0.07004247029882481,1165.5014926421236,2280587.0048503517,913.51
