SMILES,method,T_K,viscosity_Pas,Tc,Pc,Tb
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,450,0.0005433573163882392,941.4497970284477,1663255.8832687102,712.8399999999999
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,250,0.0013841313970291288,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,300,0.001263535535906019,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,350,0.0011484136777574511,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,400,0.0010387658225834244,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,450,0.0009345919703839397,1156.4280747413868,1937239.6349930572,889.6700000000001
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,250,0.0019667148234764234,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,300,0.001806430506761055,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,350,0.001652901929733556,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,400,0.0015061290923939251,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,450,0.0013661119947421634,1243.8550813690865,1786366.3094172236,999.51
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,250,0.0021297296982270976,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,300,0.0019723369137524586,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,350,0.0018209400836602908,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,400,0.0016755392079505938,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,450,0.0015361342866233676,1349.4792548105863,2104199.983166401,1067.63
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,250,0.0011103482098833294,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,300,0.0009997256334674707,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,350,0.0008948811384044486,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,400,0.0007958147246942643,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,450,0.0007025263923369172,1035.7653188393626,1367686.7056475612,820.1299999999999
CS(=O)(=O)OCCC#C,joback,250,0.0006003807136287083,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,300,0.0004216878016272199,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,350,0.00027474561607486697,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,400,0.00015955415697165056,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,450,7.61134243175702e-05,454.65502822807446,4684891.8328749165,305.53999999999996
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,250,0.0016649758811247784,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,300,0.001558096956833205,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,350,0.0014547411982265342,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,400,0.0013549086053047668,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,450,0.0012585991780679027,1518.67172071733,1197303.6721303626,1240.15
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,250,0.0013714914358665925,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,300,0.0013009044656671145,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,350,0.0012321742828096502,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,400,0.0011653008872941997,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,450,0.0011002842791207625,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,250,0.0019701194361293473,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,300,0.0017741040112861973,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,350,0.0015882846245966276,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,400,0.0014126612760606376,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,450,0.0012472339656782268,1047.0315355678615,2738284.864322092,803.6199999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,250,0.0007910674585119243,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,300,0.0006844225491791431,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,350,0.0005855056291757856,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,400,0.0004943166985018517,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,450,0.00041085575715734177,796.6000152724342,2187684.0389197743,583.3499999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,250,0.0014134346599023824,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,300,0.0012690493316536143,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,350,0.0011324121986386164,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,400,0.0010035232608573887,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,450,0.0008823825183099312,1012.2275128438567,2796513.6423723265,753.8199999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,250,0.0016519389119897352,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,300,0.0015118024179330398,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,350,0.001377842261004879,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,400,0.0012500584412052519,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,450,0.00112845095853416,1189.8014175522865,2233411.1155977864,917.3999999999999
C(C1=CCC[C@@H]2C[C@@H](O[Si](C(C)(C)C)(C)C)[C@H]3C[C@@]123)(OC)=O,joback,250,0.0008724020201705948,931.3925031670539,1466851.8616036999,714.45
C(C1=CCC[C@@H]2C[C@@H](O[Si](C(C)(C)C)(C)C)[C@H]3C[C@@]123)(OC)=O,joback,300,0.0007751309617251958,931.3925031670539,1466851.8616036999,714.45
C(C1=CCC[C@@H]2C[C@@H](O[Si](C(C)(C)C)(C)C)[C@H]3C[C@@]123)(OC)=O,joback,350,0.0006836044761302668,931.3925031670539,1466851.8616036999,714.45
C(C1=CCC[C@@H]2C[C@@H](O[Si](C(C)(C)C)(C)C)[C@H]3C[C@@]123)(OC)=O,joback,400,0.0005978225633858078,931.3925031670539,1466851.8616036999,714.45
