name,CAS,ΔfusH (kJ/mol),Temperature (K),Reference,Comment,Method
1-Pentene,109-67-1,5.807,107.90,"Chao, Hall, et al., 1983, 2",DH,
1-Pentene,109-67-1,5.807,107.9,"Todd, Oliver, et al., 1947, 2",DH,
1-Pentene,109-67-1,5.81,107.9,"Acree, 1991","See alsoMesserly, Todd, et al., 1990, 2.;AC",
1-Hexene,592-41-6,9.347,133.39,"McCullough, Finke, et al., 1957, 2",DH,
1-Hexene,592-41-6,9.35,133.4,"Domalski and Hearing, 1996",AC,
1-Octene,111-66-0,15.313,171.46,"McCullough, Finke, et al., 1957, 2",DH,
1-Octene,111-66-0,15.31,171.5,"Domalski and Hearing, 1996",AC,
1-Decene,872-05-9,13.81,206.9,"Domalski and Hearing, 1996",AC,
1-Dodecene,112-41-4,19.87,237.9,"Domalski and Hearing, 1996",AC,
1-Hexadecene,629-73-2,30.192,277.51,"McCullough, Finke, et al., 1957, 2",DH,
1-Hexadecene,629-73-2,30.21,277.5,"Messerly, Todd, et al., 1990, 2",AC,
Adamantane,281-23-2,13.8,543.2,"Kabo, Blokhin, et al., 2000",AC,N/A
Adamantane,281-23-2,10.9,541.,"Chickos, Hesse, et al., 1998",AC,DSC
Adamantane,281-23-2,10.9,541.2,"Domalski and Hearing, 1996","See alsoPirsch, 1966andHakvoort, 1993.;AC",N/A
Heptylcyclohexane,5617-41-4,22.22,232.8,"Domalski and Hearing, 1996",AC,
Heptylcyclohexane,5617-41-4,22.225,232.8,"Parks, Moore, et al., 1949, 2",DH,
