name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,Tc,722. ± 4.,K,AVG,N/A,Average of 9 values;Individual data points
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,Pc,14. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Hexadecane,544-76-3,Pc,14.01,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  0.50 bar;TRC
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,Vc,1.034,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,ρc,1. ± 0.2,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Hexadecane,544-76-3,ρc,0.967,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.03 mol/l;TRC
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,ΔvapH°,81.3 ± 0.6,kJ/mol,AVG,N/A,Average of 9 values;Individual data points
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,ΔsubH°,135.1,kJ/mol,B,"Morawetz, 1972",AC
n-Heptadecane,629-78-7,Tboil,575.0,K,N/A,"Weast and Grasselli, 1989",BS
n-Heptadecane,629-78-7,Tboil,574.25,K,N/A,"Ivanov, Ivanov, et al., 1954",Uncertainty assigned by TRC =  0.7 K;TRC
n-Heptadecane,629-78-7,Tboil,563.15,K,N/A,"Matsui and Arakawa, 1932",Uncertainty assigned by TRC =  2. K;TRC
n-Heptadecane,629-78-7,Tboil,561.65,K,N/A,"Mabery, 1902",Uncertainty assigned by TRC =  1.5 K;TRC
n-Heptadecane,629-78-7,Tboil,561.65,K,N/A,"Mabery, 1900",Uncertainty assigned by TRC =  2. K;TRC
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
