name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
n-Hexane,110-54-3,34.9,253.,A,"Stephenson and Malanowski, 1987",Based on data from 238. to 298. K.;AC,,,,,,
n-Hexane,110-54-3,35.7,244.,A,"Stephenson and Malanowski, 1987",Based on data from 189. to 259. K.;AC,,,,,,
n-Hexane,110-54-3,31.5,313.,A,"Stephenson and Malanowski, 1987",Based on data from 298. to 343. K.;AC,,,,,,
n-Hexane,110-54-3,30.1,356.,A,"Stephenson and Malanowski, 1987",Based on data from 341. to 377. K.;AC,,,,,,
n-Hexane,110-54-3,29.3,389.,A,"Stephenson and Malanowski, 1987",Based on data from 374. to 451. K.;AC,,,,,,
n-Hexane,110-54-3,29.4,460.,A,"Stephenson and Malanowski, 1987",Based on data from 445. to 508. K.;AC,,,,,,
n-Hexane,110-54-3,32.0,301.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 286. to 343. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
n-Hexane,110-54-3,26.6,373.,C,"Wormald and Yerlett, 1985",AC,,,,,,
n-Hexane,110-54-3,22.5,423.,C,"Wormald and Yerlett, 1985",AC,,,,,,
n-Hexane,110-54-3,15.7,473.,C,"Wormald and Yerlett, 1985",AC,,,,,,
n-Hexane,110-54-3,8.9,498.,C,"Wormald and Yerlett, 1985",AC,,,,,,
n-Hexane,110-54-3,30.9,313.,N/A,"Michou-Saucet, Jose, et al., 1984",Based on data from 298. to 338. K.;AC,,,,,,
n-Hexane,110-54-3,30.7 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Hexane,110-54-3,29.5 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Hexane,110-54-3,28.2 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Hexane,110-54-3,31.6,310.,N/A,"Letcher and Marsicano, 1974","Based on data from 300. to 321. K. See alsoBoublik, Fried, et al., 1984.;AC",,,,,,
n-Hexane,110-54-3,32.5,250.,N/A,"Carruth and Kobayashi, 1973",Based on data from 178. to 265. K.;AC,,,,,,
n-Hexane,110-54-3,30.9 ± 0.1,309.,C,"Waddington and Douslin, 1947",AC,,,,,,
n-Hexane,110-54-3,29.8 ± 0.1,328.,C,"Waddington and Douslin, 1947",AC,,,,,,
n-Hexane,110-54-3,30.5 ± 0.2,313.,C,"Lemons and Felsing, 1943",AC,,,,,,
n-Hexane,110-54-3,29.0 ± 0.2,333.,C,"Lemons and Felsing, 1943",AC,,,,,,
n-Hexane,110-54-3,28.2 ± 0.2,353.,C,"Lemons and Felsing, 1943",AC,,,,,,
n-Hexane,110-54-3,,A (kJ/mol),,,,,43.85,,,,
n-Hexane,110-54-3,,α,,,,,-0.039,,,,
n-Hexane,110-54-3,,β,,,,,0.397,,,,
n-Hexane,110-54-3,,Tc(K),,,,,507.4,,,,
n-Hexane,110-54-3,,Reference,,,,,"Majer and Svoboda, 1985",,,,
n-Heptane,142-82-5,31.77,371.6,N/A,"Majer and Svoboda, 1985",,,,,,,
n-Heptane,142-82-5,34.7,345.,N/A,"Segura, Wisniak, et al., 2002",Based on data from 330. to 371. K.;AC,,,,,,
n-Heptane,142-82-5,35.2,343.,N/A,"Ortega, González, et al., 2001",Based on data from 328. to 393. K.;AC,,,,,,
n-Heptane,142-82-5,36.1,312.,A,"Stephenson and Malanowski, 1987","Based on data from 297. to 375. K. See alsoForziati, Norris, et al., 1949.;AC",,,,,,
n-Heptane,142-82-5,36.1,313.,N/A,"Michou-Saucet, Jose, et al., 1984",Based on data from 298. to 338. K.;AC,,,,,,
n-Heptane,142-82-5,36.1,313.,N/A,"Sipowska and Wieczorek, 1984",Based on data from 298. to 363. K.;AC,,,,,,
n-Heptane,142-82-5,35.6 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Heptane,142-82-5,34.4 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Heptane,142-82-5,33.1 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Heptane,142-82-5,36.4,303.,N/A,"Van Ness, Soczek, et al., 1967",Based on data from 288. to 348. K.;AC,,,,,,
n-Heptane,142-82-5,34.5 ± 0.1,331.,C,"Waddington, Todd, et al., 1947",AC,,,,,,
n-Heptane,142-82-5,33.2 ± 0.1,350.,C,"Waddington, Todd, et al., 1947",AC,,,,,,
n-Heptane,142-82-5,35.4,328.,N/A,"Thomson, 1946",Based on data from 313. to 398. K.;AC,,,,,,
n-Heptane,142-82-5,36.0,314.,MM,"Willingham, Taylor, et al., 1945",Based on data from 299. to 372. K.;AC,,,,,,
n-Heptane,142-82-5,32.0,371.,C,"Pitzer K.S., 1940",AC,,,,,,
n-Heptane,142-82-5,35.5,325.,EB,"Smith, 1940",Based on data from 310. to 397. K.;AC,,,,,,
n-Octane,111-65-9,34.41,398.8,N/A,"Majer and Svoboda, 1985",,,,,,,
n-Octane,111-65-9,39.4,338.,EB,"Ewing and Ochoa, 2003",Based on data from 323. to 563. K.;AC,,,,,,
n-Octane,111-65-9,41.0,312.,A,"Stephenson and Malanowski, 1987",Based on data from 297. to 400. K.;AC,,,,,,
n-Octane,111-65-9,44.4,263.,A,"Stephenson and Malanowski, 1987",Based on data from 216. to 278. K.;AC,,,,,,
