canonical_smiles,T_K,value,source
OCC(O)CO,295.0,0.06287,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,358.0,0.0277,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,363.0,0.0274,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,368.0,0.0272,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,373.0,0.027,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,378.0,0.0267,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,383.0,0.0265,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,388.0,0.0263,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,393.0,0.026,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,318.0,0.0296,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,323.0,0.0294,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,328.0,0.0292,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,333.0,0.0289,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,338.0,0.0287,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,343.0,0.0284,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,348.0,0.0282,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,353.0,0.0279,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],378.0,0.0276,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],383.0,0.0274,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],388.0,0.027,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],393.0,0.0267,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.0,0.0307,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,303.0,0.0304,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,308.0,0.0301,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,313.0,0.0299,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,472.7,0.0264,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.7,0.0273,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,0.0338,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.3,0.0336,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,352.4,0.0334,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.2,0.0315,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.2,0.0311,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,332.7,0.0342,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.4,0.0334,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,372.7,0.0325,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,392.9,0.0314,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,412.8,0.0305,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,432.5,0.0296,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,453.0,0.0287,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,472.5,0.0257,thermoml
CC(F)F,308.195,0.008505,thermoml
CC(F)F,313.135,0.007731,thermoml
CC(C)C,313.17,0.00828,thermoml
CC(C)C,318.131,0.007704,thermoml
CC(C)C,323.163,0.007182,thermoml
CC(C)C,328.117,0.006691,thermoml
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.0352,thermoml
CCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,0.05281,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,0.04533,thermoml
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,0.03733,thermoml
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,0.03284,thermoml
CCO,298.15,0.022,thermoml
CC(F)F,298.183,0.009747,thermoml
CC(F)F,303.228,0.009062,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,414.4,0.0272,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,434.5,0.0266,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,455.0,0.0258,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,475.2,0.0246,thermoml
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.0292,thermoml
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.3,0.0282,thermoml
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.8,0.0273,thermoml
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.6,0.0263,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,432.6,0.0249,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.2,0.0244,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,472.0,0.0233,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,312.6,0.0319,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.1,0.0312,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.7,0.0301,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,374.1,0.0292,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,394.2,0.0281,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,473.0,0.0237,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.3,0.0304,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.5,0.0297,thermoml
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.6,0.0288,thermoml
